code,eng,thai 
P11,Other birth injuries to central nervous system,บาดเจ็บจากการคลอดแบบอื่นๆที่มีผลต่อระบบประสาทส่วนกลาง
P110,Cerebral oedema due to birth injury,บาดเจ็บจากการคลอดที่มีเนื้อสมองบวม
P111,Other specified brain damage due to birth injury,บาดเจ็บจากการคลอดที่มีอันตรายต่อเนื้อสมองแบบอื่นๆที่ระบุรายละเอียดอื่น
P112,Unspecified brain damage due to birth injury,บาดเจ็บจากการคลอดที่มีอันตรายต่อเนื้อสมองที่มิได้ระบุรายละเอียด
P113,Birth injury to facial nerve,บาดเจ็บจากการคลอดที่มีผลต่อเส้นประสาทที่มาเลี้ยงบริเวณหน้า
P114,Birth injury to other cranial nerves,บาดเจ็บจากการคลอดที่มีผลต่อเส้นประสาทสมองเส้นอื่นๆ
P115,Birth injury to spine and spinal cord,บาดเจ็บจากการคลอดที่มีผลต่อกระดูกหลังและไขสันหลัง
P119,Birth injury to central nervous system unspecified,บาดเจ็บจากการคลอดที่มีผลต่อระบบประสาทส่วนกลางที่มิได้ระบุรายละเอียด
P12,Birth injury to scalp,บาดเจ็บจากการคลอดที่มีผลต่อหนังศีรษะ
P120,Cephalhaematoma due to birth injury,บาดเจ็บจากการคลอดที่มีเลือดขังในชั้นใต้เยื่อหุ้มกระโหลกศีรษะ
P121,Chignon due to birth injury,บาดเจ็บจากการคลอดที่มีน้ำขังบริเวณเนื้อเยื่อใต้ผิวหนังของศีรษะ
P122,Epicranial subaponeurotic haemorrhage due to birth injury,บาดเจ็บจากการคลอดที่มีเลือดออกที่ชั้นระหว่างเนื้อสมองและใต้เยื่อหุ้มกระโหลกศีรษะ
P123,Bruising of scalp due to birth injury,บาดเจ็บจากการคลอดที่มีรอยช้ำที่ผิวหนังของศีรษะ
P124,Monitoring injury of scalp of newborn,บาดเจ็บจากการตรวจติดตามอาการของทารกแรกเกิด
P128,Other birth injuries to scalp,บาดเจ็บจากการคลอดอื่นๆที่มีผลต่อหนังศีรษะ
P129,Birth injury to scalp unspecified,บาดเจ็บจากการคลอดที่มีผลต่อหนังศีรษะ ที่มิได้ระบุรายละเอียด
P13,Birth injury to skeleton,บาดเจ็บจากการคลอดที่มีผลต่อโครงกระดูก
P130,Fracture of skull due to birth injury,บาดเจ็บจากการคลอดที่มีกระโหลกศีรษะแตก
P131,Other birth injury to skull,บาดเจ็บจากการคลอดอื่นๆที่มีผลต่อกระโหลกศีรษะ
P132,Birth injury to femur,บาดเจ็บจากการคลอดที่มีผลต่อกระดูกต้นขา
P133,Birth injury to other long bones,บาดเจ็บจากการคลอดที่มีผลต่อกระดูกยาวส่วนอื่นๆ
P134,Fracture of clavicle due to birth injury,บาดเจ็บจากการคลอดที่มีกระดูกไหปลาร้าหัก
P138,Birth injuries to other parts of skeleton,บาดเจ็บจากการคลอดที่มีผลต่อโครงกระดูกส่วนอื่นๆ
P139,Birth injury to skeleton unspecified,บาดเจ็บจากการคลอดที่มีผลต่อโรงกระดูก ที่มิได้ระบุรายละเอียด
P14,Birth injury to peripheral nervous system,บาดเจ็บจากการคลอดที่มีผลต่อระบบประสาทส่วนปลาย
P140,Erb's paralysis due to birth injury,บาดเจ็บจากการคลอดที่ทำให้อัมพาตแบบอิรับ
P141,Klumpke's paralysis due to birth injury,บาดเจ็บจากการคลอดที่ทำให้มีอัมพาตแบบคลัมเก้
P142,Phrenic nerve paralysis due to birth injury,บาดเจ็บจากการคลอดที่ทำให้มีอัมพาตของเส้นประสาทที่มาเลี้ยงกระบังลม
P143,Other brachial plexus birth injuries,บาดเจ็บจากการคลอดที่มีผลต่อกลุ่มเส้นประสาทที่ต้นแขน แบบอื่นๆ
P148,Birth injuries to other parts of peripheral nervous system,บาดเจ็บจากการคลอดที่มีผลต่อส่วนอื่นๆของระบบประสาทส่วนปลาย
P149,Birth injury to peripheral nervous system unspecified,บาดเจ็บจากการคลอดที่มีผลต่อระบบประสาทส่วนปลาย ที่มิได้ระบุรายละเอียด
P15,Other birth injuries,บาดเจ็บแบบอื่นจากการคลอด
P150,Birth injury to liver,บาดเจ็บจากการคลอดที่มีผลต่อตับ
P151,Birth injury to spleen,บาดเจ็บจากการคลอดที่มีผลต่อม้าม
P152,Sternomastoid injury due to birth injury,บาดเจ็บจากการคลอดที่มีผลต่อกล้ามเนื้อสเตอร์โนมาสตอยด์
P153,Birth injury to eye,บาดเจ็บจากการคลอดที่มีผลต่อตา
P154,Birth injury to face,บาดเจ็บจากการคลอดที่มีผลต่อบริเวณหน้า
P155,Birth injury to external genitalia,บาดเจ็บจากการคลอดที่มีผลต่ออวัยวะสืบพันธุ์ภายนอก
P156,Subcutaneous fat necrosis due to birth injury,บาดเจ็บจากการคลอดที่ทำให้เนื้อเยื่อไขมันใต้ผิวหนังตาย
P158,Other specified  birth injuries,แบบอื่นๆของการบาดเจ็บจากการคลอด
P159,Birth injury unspecified,บาดเจ็บจากการคลอด ที่มิได้ระบุรายละเอียด
P20,Intrauterine hypoxia,ขาดออกซิเจนขณะอยู่ในโพรงมดลูก
P200,Intrauterine hypoxia first noted before onset of labour,ภาวะออกซิเจนต่ำในโพรงมดลูก พบครั้งแรกก่อนมีการเจ็บครรภ์
P201,Intrauterine hypoxia first noted during labour and delivery,ภาวะออกซิเจนในโพรงมดลูกต่ำ พบครั้งแรกระหว่างเจ็บครรภ์และคลอด
P209,Intrauterine hypoxia unspecified,ภาวะออกซิเจนในโพรงมดลูกต่ำ ที่มิได้ระบุรายละเอียด
P21,Birth asphyxia,ภาวะแอสพิกเซียเมื่อแรกเกิด
P210,Severe birth asphyxia,ภาวะแอสพิกเซียรุนแรง
P211,Mild and moderate birth asphyxia,ภาวะแอสพิกเซียปานกลางหรืออย่างอ่อน
P219,Birth asphyxia unspecified,ภาวะแอสพิกเซียเมื่อแรกเกิด ที่มิได้ระบุรายละเอียด
P22,Respiratory distress of newborn,ภาวะหายใจลำบากของทารกแรกเกิด
P220,Respiratory distress syndrome of newborn,กลุ่มอาการหายใจลำบากของทารกแรกเกิด
P221,Transient tachypnoea of newborn,หายใจลำบากในทารกแรกเกิดที่เกิดในระยะสั้น
P228,Other respiratory distress of newborn,หายใจลำบากในทารกแรกเกิดแบบอื่นๆ
P229,Respiratory distress of newborn unspecified,ภาวะหายใจลำบากในทารกแรกเกิด ที่มิได้ระบุรายละเอียด
P23,Congenital pneumonia,ปวดบวมแต่กำเนิด
P230,Congenital pneumonia due to viral agent,ปวดบวมแต่กำเนิดจากเชื้อไวรัส
P231,Congenital pneumonia due to Chlamydia,ปวดบวมแต่กำเนิดจากเชื้อคลาไมเดีย
P232,Congenital pneumonia due to staphylococcus,ปอดบวมแต่กำเนิดจากเชื้อสแตฟฟิโลคอคคัส
P233,Congenital pneumonia due to streptococcus group B,ปอดบวมแต่กำเนิดจากเชื้อสเตร็ปโตคอคคัส กรุ๊ป บี
P234,Congenital pneumonia due to Escherichia coli,ปอดบวมแต่กำเนิดจากเชื้อเอสเชอริเซีย โคไล
P235,Congenital pneumonia due to Pseudomonas,ปอดบวมแต่กำเนิดจากเชื้อสูโดโมแนส
P236,Congenital pneumonia due to other bacterial agents,ปอดบวมแต่กำเนิดจากเชื้อแบคทีเรียตัวอื่นๆ
P238,Congenital pneumonia due to other organisms,ปอดบวมแต่กำเนิดจากเชื้ออื่นๆ
P239,Congenital pneumonia unspecified,ปอดบวมแต่กำเนิด ที่มิได้ระบุรายละเอียด
P24,Neonatal aspiration syndromes,กลุ่มอาการสำลักในทารกแรกเกิด
P240,Neonatal aspiration of meconium,ทารกแรกเกิดสำลักขี้เทา
P241,Neonatal aspiration of amniotic fluid and mucus,ทารกแรกเกิดสำลักน้ำคร่ำและมูก
P242,Neonatal aspiration of blood,ทารกแรกเกิดสำลักเลือด
P243,Neonatal aspiration of milk and regurgitated food,ทารกแรกเกิดสำลักนมหรือเศษอาหารที่สำรอก
P248,Other neonatal aspiration syndrome,กลุ่มอาการสำลักในทารกแรกเกิดแบบอื่นๆ
P249,Neonatal aspiration syndrome unspecified,กลุ่มอาการสำลักในทารกแรกเกิด ที่มิได้ระบุรายละเอียด
P25,Interstitial emphysema and related conditions originating in the perinatal period,ถุงลมโป่งพองและอาการอื่นที่เกิดในระยะปริกำเนิด
P250,Interstitial emphysema originating in the perinatal period,ถุงลมโป่งพองในระยะปริกำเนิด
P251,Pneumothorax originating in the perinatal period,ลมในช่องอกในระยะปริกำเนิด
P252,Pneumomediastinum originating in the perinatal period,ลมในมีดิแอ็สไทนัม ในระยะปริกำเนิด
P253,Pneumopericardium originating in the perinatal period,ลมในเยื่อหุ้มหัวใจ ในระยะปริกำเนิด
P258,Other conditions related to interstitial emphysema originating in the perinatal period,ภาวะอื่นๆที่สัมพันธ์กับถุงลมโป่งพอง ในระยะปริกำเนิด
P26,Pulmonary haemorrhage originating in the perinatal period,เลือดออกที่ปอดในระยะปริกำเนิด
P260,Tracheobronchial haemorrhage originating in the perinatal period,เลือดออกในหลอดคอและหลอดลมในระยะปริกำเนิด
P261,Massive pulmonary haemorrhage originating in the perinatal period,เลือดออกในปอดอย่างมากในระยะปริกำเนิด
P268,Other pulmonary haemorrhage originating in the perinatal period,เลือดออกในปอดแบบอื่นๆ ในระยะปริกำเนิด
P269,Unspecified pulmonary haemorrhage originating in the perinatal period,เลือดออกในปอดในระยะปริกำเนิดที่มิได้ระบุรายละเอียด
P27,Chronic respiratory disease originating in the perinatal period,โรคทางเดินหายใจเรื้อรังในระยะปริกำเนิด
P270,Wilson-Mikity syndrome,กลุ่มอาการวิลสัน-มิกิตี
P271,Bronchopulmonary dysplasia originating in the perinatal period,หลอดลมและเนื้อปอดเจริญผิดปกติในระยะปริกำเนิด
P278,Other chronic respiratory diseases originating in the perinatal period,โรคทางเดินหายใจเรื้อรังแบบอื่นในระยะปริกำเนิด
P279,Unspecified chronic repiratory disease originating in the perinatal period,โรคทางเดินหายใจเรื้อรังในระยะปริกำเนิดที่มิได้ระบุรายละเอียด
P28,Other respiratory conditions originating in the perinatal period,โรคทางเดินหายใจอื่นๆ ในระยะปริกำเนิด
P280,Primary atelectasis of newborn,ปอดแฟบชนิดปฐมภูมิในทารกแรกเกิด
P281,Other and unspecified atelectasis of newborn,ทารกแรกเกิดปอดแฟบแบบอื่นและที่มิได้ระบุรายละเอียด
P282,Cyanotic attacks of newborn,ภาวะตัวเขียวในทารกแรกเกิด
P283,Primary sleep apnoea of newborn,การหยุดหายใจในขณะหลับของทารกแรกเกิดชนิดปฐมภูมิ
P284,Other apnoea of newborn,การหยุดหายใจแบบอื่นของทารกแรกเกิด
P285,Respiratory failure of newborn,ภาวะการหายใจวายในทารกแรกเกิด
P288,Other specified respiratory conditions of newborn,ความผิดปกติอื่นๆ ของระบบหายใจของทารกแรกเกิด
P289,Respiratory condition of newborn unspecified,ความผิดปกติของระบบหายใจในทารกแรกเกิด ที่มิได้ระบุรายละเอียด
P29,Cardiovascular disorders originating in the perinatal period,ความผิดปกติของระบบหัวใจและหลอดเลือดในระยะปริกำเนิด
P290,Neonatal cardiac failure,ภาวะหัวใจวายในทารกแรกเกิด
P291,Neonatal cardiac dysrhythmia,จังหวะการเต้นหัวใจผิดปกติในทารกแรกเกิด
P292,Neonatal hypertension,ความดันโลหิตสูงในทารกแรกเกิด
P293,Persistent fetal circulation,ภาวะที่มีทางไหลเวียนเลือดยังคงอยู่แบบทารกในครรภ์
P294,Transient myocardial ischaemia of newborn,กล้ามเนื้อหัวใจขาดเลือดไปเลี้ยงชั่วคราวในทารกแรกเกิด
P298,Other cardiovascular disorders originating in the perinatal period,ความผิดปกติอื่น ของระบบหัวใจและหลอดเลือดในระยะปริกำเนิด
P299,Cardiovascular disorders originating in the perinatal period unspecified,ความผิดปกติของระบบหัวใจและหลอดเลือดในระยะปริกำเนิด ที่มิได้ระบุรายละเอียด
P35,Congenital viral diseases,การติดเชื้อไวรัสโดยกำเนิด
P350,Congenital rubella syndrome,กลุ่มอาการโรคหัดเยอรมันโดยกำเนิด
P351,Congenital cytomegalovirus infection,การติดเชื้อไซโตเมกาโลไวรัสโดยกำเนิด
P352,Congenital herpesviral [ herpes simplex ] infection,การติดเชื้อเริมโดยกำเนิด
P353,Congenital viral hepatitis,การติดเชื้อไวรัสตับอักเสบโดยกำเนิด
P358,Other congenital viral diseases,โรคติดเชื้อไวรัสอื่นๆโดยกำเนิด
P359,Congenital viral disease unspecified,โรคติดเชื้อไวรัสโดยกำเนิด ที่มีได้ระบุรายละเอียด
P36,Bacterial sepsis of newborn,การติดเชื้อและมีพิษของแบคทีเรีย ในกระแสเลือดในทารกแรกเกิด
P360,Sepsis of newborn due to streptococcus group B,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อสเตร็ปโตคอคคัส กรุ๊ปบี
P361,Sepsis of newborn due to other and unspecified streptococci,ทารกแรกเกิดติดเชื้อจากสเตรปโตคอคไค แบบอื่นๆที่มิได้ระบุรายละเอียด
P362,Sepsis of newborn due to Staphylococcus aureus,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อสแตฟฟิโลคอคคัส ออเรียส
P363,Sepsis of newborn due to other and unspecified staphylococci,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อสแตฟฟิลโลคอคไค แบบอื่น ที่มิได้ระบุรายละเอียด
P364,Sepsis of newborn due to Escherichia coli,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อเอสเซอริเซีย โคไล
P365,Sepsis of newborn due to anaerobes,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อจุลินทรีย์ที่ไม่ใช้ออกซิเจน
P368,Other bacterial sepsis of newborn,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อแบคทีเรียอื่นๆ
P369,Bacterial sepsis of newborn unspecified,ทารกแรกเกิดติดเชื้อและมีพิษของเชื้อแบคมีเรีย ที่มิได้ระบุรายละเอียด
P37,Other congenital infectious and parasitic diseases,โรคติดเชื้ออื่นๆ และโรคติดเชื้อปาราสิตแต่กำเนิด
P370,Congenital tuberculosis,วัณโรคแต่กำเนิด
P371,Congenital toxoplasmosis,ทอกโซพลาสโมซิส แต่กำเนิด
P372,Neonatal ( disseminated ) listeriosis,ลิสเตอริโอซิส ในทารกแรกเกิด(แบบกระจายทั่วร่างกาย)
P373,Congenital falciparum malaria,ติดเชื้อมาเลเรียชนิดฟาลซิปารัม แต่กำเนิด
P374,Other congenital malaria,มาเลเรียแต่กำเนิดแบบอื่นๆ
P375,Neonatal candidiasis,ติดเชื้อราแคนดิด้าแต่กำเนิด
P378,Other specified congenitial infectious and parasitic diseases,โรคติดเชื้อและโรคปาราสิตแต่กำเนิดแบบอื่นๆ
P379,Congenitial infectious or parasitic disease unspecified,โรคติดเชื้อและโรคปาราสิตแต่กำเนิด ที่มิได้ระบุรายละเอียด
P38,Omphalitis of newborn with or without mild haemorrhage,สะดืออักเสบในทารกแรกเกิดชนิดมีหรือไม่มีเลือดออก
P39,Other infections specific to the perinatal period,การติดเชื้ออื่นๆ ที่พบเฉพาะในระยะปริกำเนิด
P390,Neonatal infective mastitis,เต้านมอักเสบแบบติดเชื้อในทารกแรกเกิด
P391,Neonatal conjunctivitis and dacryocystitis,เยื่อบุตาอักเสบและถุงน้ำตาอักเสบในทารกแรกเกิด
P392,Intra-amniotic infection of fetus not elsewhere classified,การติดเชื้อในถุงน้ำคร่ำของทารกในครรภ์ ที่มิได้มีรหัสระบุไว้ที่อื่น
P393,Neonatal urinary tract infection,ทารกแรกเกิดมีอาการติดเชื้อในทางเดินปัสสาวะ
P394,Neonatal skin infection,ทารกแรกเกิดมีการติดเชื้อที่ผิวหนัง
P398,Other specified infections specific to the perinatal period,การติดเชื้ออื่นๆที่พบเฉพาะในระยะปริกำเนิด
P399,Infection specific to the perinatal period unspecified,การติดเชื้อที่พบเฉพาะในระยะปริกำเนิด ที่มิได้ระบุรายละเอียด
P50,Fetal blood loss,การเสียเลือดของทารกในครรภ์
P500,Fetal blood loss from vasa praevia,ทารกในครรภ์เสียเลือดจากเส้นเลือดจากสายสะดือขวางทางคลอด
P501,Fetal blood loss from ruptured cord,ทารกในครรภ์เสียเลือดจากสายสะดือขาด
P502,Fetal blood loss from placenta,ทารกในครรภ์เสียเลือดจากรก
P503,Haemorrhage into co-twin,เสียเลือดเข้าไปในคู่แฝด
P504,Haemorrhage into maternal circulation,เสียเลือดเข้าไปในกระแสเลือดมารดา
P505,Fetal blood loss from cut end of  co-twin's cord,ทารกในครรภ์เสียเลือดจาก สายสะดือที่ถูกตัดขาดจากคู่แฝด
P508,Other fetal blood loss,ทารกในครรภ์เสียเลือดแบบอื่นๆ
P509,Fetal blood loss unspecified,ทารกในครรภ์เสียเลือด ที่มิได้ระบุรายละเอียด
P51,Umbilical haemorrhage of newborn,เลือดออกจากสายสะดือในทารกแรกเกิด
P510,Massive umbilical haemorrhage of newborn,เลือดออกจากสายสะดืออย่างมากในทารกแรกเกิด
P518,Other umbilical haemorrhage of newborn,เลือดออกจากสายสะดือแบบอื่นในทารกแรกเกิด
P519,Umbilical haemorrhage of newborn unspecified,เลือดออกจากสายสะดือในทารกแรกเกิด ที่มิได้ระบุรายละเอียด
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,เลือดออกในสมองโดยไม่ได้เกิดจากการบาดเจ็บของทารกในครรภ์ และแรกเกิด
P520,Intraventricular ( nontraumatic ) haemorrhage grade  of fetus and newborn,เลือดออกในช่องเวนตริเคิล (ไม่ใช่การบาดเจ็บ) เกรด 1 ในทารกในครรภ์และแรกเกิด
P521,Intraventricular ( nontraumatic ) haemorrhage grade  of fetus and newborn,เลือดออกในช่องเวนตริเคิล (ไม่ได้เกิดจากการบาดเจ็บ) เกรด 2 ในทารกในครรภ์และแรกเกิด
P522,Intraventricular ( nontraumatic ) haemorrhage grade  of fetus and newborn,เลือดออกในช่องเวนตริเคิล (ไม่ได้เกิดจากการบาดเจ็บ) เกรด 3 ในทารกในครรภ์และแรกเกิด
P523,Unspecified intraventricular ( nontraumatic ) haemorrhage of fetus and newborn,เลือดออกในช่องเวนตริเคิล (ไม่ได้เกิดจากการบาดเจ็บ) ในทารกในครรภ์และแรกเกิด ที่มิได้ระบุรายละเอียด
P524,Intracerebral ( nontraumatic ) haemorrhage of fetus and newborn,เลือดออกในเนื้อสมอง (ไม่ได้เกิดจากการบาดเจ็บ) ในทารกในครรภ์และแรกเกิด
P525,Subarachnoid ( nontraumatic ) haemorrhage of fetus and newborn,เลือดออกใต้เยื่อหุ้มสมอง (ไม่ได้เกิดจากการบาดเจ็บ) ในทารกในครรภ์และแรกเกิด
P526,Cerebellar  ( nontraumatic ) and posterior fossa haemorrhage of fetus and newborn,เลือดออกในสมองน้อย และแอ่งสมองด้านหลัง ในทารกในครรภ์และแรกเกิด
P528,Other intracranial [ nontraumatic ] haemorrhage of fetus and newborn,เลือดออกในสมองแบบอื่นๆ (ไม่ได้เกิดจากบาดเจ็บ) ในทารกในครรภ์และแรกเกิด
P529,Intracranial [ nontraumatic ] haemorrhage of fetus and newborn unspecified,เลือดออกในสมอง (ไม่ได้เกิดจากบาดเจ็บ) ในทารกในครรภ์และแรกเกิด ที่มิได้ระบุรายละเอียด
P53,Haemorrhagic disease of fetus and newborn,โรคเลือดออกในทารกในครรภ์และแรกเกิด
P54,Other neonatal haemorrhages,เลือดออกแบบอื่นๆในทารกแรกเกิด
P540,Neonatal haematemesis,อาเจียนเป็นเลือดในทารกแรกเกิด
P541,Neonatal melaena,ถ่ายดำในทารกแรกเกิด
P542,Neonatal rectal haemorrhage,เลือดออกจากลำไส้ตรงในทารกแรกเกิด
P543,Other neonatal gastrointestinal haemorrhage,เลือดออกจากระบบทางเดินอาหารแบบอื่นๆในทารกแรกเกิด
P544,Neonatal adrenal haemorrhages,เลือดออกที่ต่อมหมากไตในทารกแรกเกิด
P545,Neonatal cutaneous haemorrhage,เลือดออกที่ผิวหนังในทารกแรกเกิด
P546,Neonatal vaginal haemorrhage,เลือดออกจากช่องคลอดในทารกแรกเกิด
P548,Other specified neonatal haemorrhages,เลือดออกในทารกแรกเกิดแบบอื่นๆ
P549,Neonatal haemorrhage unspecified,เลือดออกในทารกแรกเกิด ที่มิได้ระบุรายละเอียด
P55,Haemolytic disease of fetus and newborn,โรคเม็ดเลือดแตกของทารกในครรภ์และแรกเกิด
P550,Rh isoimmunization of fetus and newborn,ภูมิคุ้มกันต่อแอนติเจนอาร์เอชของทารกในครรภ์และแรกเกิด
P551,ABO isoimmunization of fetus and newborn,ภูมิคุ้มกันต่อแอนติเจนเอบีโอของทารกในครรภ์และแรกเกิด
P558,Other haemolytic diseases of fetus and newborn,โรคเม็ดเลือดแตกแบบอื่นๆของทารกในครรภ์และแรกเกิด
P559,Haemolytic disease of fetus and newborn unspecified,โรคเม็ดเลือดแตกของทารกในครรภ์และแรกเกิด ที่มิได้ระบุรายละเอียด
P56,Hydrops fetalls due to haemolytic disease,ทารกบวมน้ำจากโรคเม็ดเลือดแตก
P560,Hydrops fetalls due to isoimmunization,ทารกบวมน้ำที่เกิดจากมีภูมิคุ้มกันต่อเซลล์ตนเอง
P569,Hydrops fetalls due to other and unspecified haemolytic disease,ทารกบวมน้ำจากโรคเม็ดเลือดแตกแบบอื่นๆ และที่มิได้ระบุรายละเอียด
P57,Kernicterus,เคอนิคเทอรัส (พิษของบิลิรูบินต่อเนื้อสมอง)
P570,Kernicterus due to isoimmunization,พิษของบิลิรูบินต่อเนื้อสมองจากมีภูมิคุ้มกันต่อเซลล์ตนเอง
P578,Other specified kernicterus,พิษของบิลิรูบินต่อเนื้อสมองแบบอื่นๆ
P579,Kernicterus unspecified,พิษของบิลิรูบินต่อเนื้อสมอง ที่มิได้ระบุรายละเอียด
P58,Neonatal jaundice due to other excessive haemolysis,ภาวะตัวเหลืองในทารกแรกเกิดจากเม็ดเลือดแตกมากผิดปกติแบบอื่น
P580,Neonatal jaundice due to bruising,ภาวะตัวเหลืองในทารกแรกเกิดจากฟกช้ำ
P581,Neonatal jaundice due to bleeding,ภาวะตัวเหลืองในทารกแรกเกิดจากเลือดออก
P582,Neonatal jaundice due to infection,ภาวะตัวเหลืองในทารกแรกเกิดจากการติดเชื้อ
P583,Neonatal jaundice due to polycythaemia,ภาวะตัวเหลืองในทารกแรกเกิดจากเลือดข้น
P584,Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn,ภาวะตัวเหลืองในทารกแรกเกิดจากยาหรือสารพิษที่ส่งผ่านจากมารดาหรือให้แก่ทารกแรกเกิด
P585,Neonatal jaundice due to swallowed maternal blood,ภาวะตัวเหลืองในทารกแรกเกิดจากเลือดมารดาที่ถูกกลืนเข้าไป
P588,Neonatal jaundice due to other specified excessive haemolysis,ภาวะตัวเหลืองในทารกแรกเกิดจากการแตกของเม็ดเลือดมากผิดปกติแบบอื่นๆ
P589,Neonatal jaundice due to excessive haemolysis unspecified,ภาวะตัวเหลืองในทารกแรกเกิดจากการแตกของเม็ดเลือดมากผิดปกติ ที่มิได้ระบุรายละเอียด
P59,Neonatal jaundice from other and unspecified causes,ภาวะตัวเหลืองในทารกแรกเกิดจากสาเหตุอื่นๆและที่มิได้ระบุรายละเอียดของสาเหตุ
P590,Neonatal jaundice associated with preterm delivery,ภาวะตัวเหลืองในทารกแรกเกิดที่เกี่ยวกับการคลอดก่อนกำหนด
P591,Inspissated bile syndrome,กลุ่มอาการที่เกิดจากน้ำดีข้นหนาขึ้นโดยการระเหยเอาของเหลวออก
P592,Neonatal jaundice from other and unspecified hepatocellular damage,ภาวะตัวเหลืองในทารกแรกเกิดจากการทำลายเซลล์ตับแบบอื่นๆหรือที่มิได้ระบุรายละเอียด
P593,Neonatal jaundice from breast milk inhibitor,ภาวะตัวเหลืองในทารกแรกเกิดจากสารห้ามการหลั่งน้ำนมมารดา
P598,Neonatal jaundice from other specified causes,ภาวะตัวเหลืองในทารกแรกเกิดจากสาเหตุอื่นๆ
P599,Neonatal jaundice unspecified,ภาวะตัวเหลืองในทารกแรกเกิด ที่มิได้ระบุรายละเอียด
P60,Disseminated intravascular coagutation of fetus and newborn,การแข็งตัวของเลือดในหลอดเลือดแบบกระจายทั่วร่างกายในทารกในครรภ์ และแรกเกิด
P61,Other perinatal haematological disorders,ความผิดปกติอื่นของเลือดในระยะแรกคลอด
P610,Transient neonatal thrombocytopenia,เกล็ดเลือดต่ำชั่วคราวในทารกแรกเกิด
P611,Polycythaemia neonatorum,ภาวะเลือดข้นในทารกแรกเกิด
P612,Anaemia of prematurity,ภาวะเลือดจางในทารกคลอดก่อนกำหนด
P613,Congenital anaemia from fetal blood loss,ภาวะเลือดจางแต่กำเนิดจากทารกในครรภ์เสียเลือด
P614,Other congenital anaemias not elsewhere classified,ภาวะเลือดจางแต่กำเนิดแบบอื่นๆ ที่มิได้มีรหัสระบุไว้ที่อื่น
P615,Transient neonatal neutropenia,เม็ดเลือดขาวชนิดนิวโทรฟิลน้อยชั่วคราวในทารกแรกเกิด
P616,Other transient neonatal disorders of coagulation,การแข็งตัวของเลือดผิดปกติชั่วคราวในทารกแรกเกิด
P618,Other specified perinatal haematological disorders,ความผิดปกติของเลือดแบบอื่นๆในระยะปริกำเนิด
P619,Perinatal haematological disordersunspecified,ความผิดปกติของเลือดในระยะปริกำเนิด ที่มิได้ระบุรายละเอียด
P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,ความผิดปกติชั่วคราวของเมตะบอลิซึมของคาร์โบไฮเดรต ที่เกิดเฉพาะในทารกในครรภ์และแรกเกิด
P700,Syndrome of infant of mother with gestational diabetes,กลุ่มอาการในทารกที่คลอดจากมารดาที่เป็นเบาหวานขณะตั้งครรภ์
P701,Syndrome of infant of a diabetic mother,กลุ่มอาการของทารกที่มารดาเป็นเบาหวาน
P702,Neonatal diabetes mellitus,เบาหวานในทารกแรกเกิด
P703,Iatrogenic neonatal hypoglycaemia,ทารกแรกเกิดมีน้ำตาลในเลือดต่ำจากการกระทำของแพทย์
P704,Other neonatal hypoglycaemia,ทารกแรกเกิดมีน้ำตาลในเลือดต่ำแบบอื่น
P708,Other transitory disorders of carbohydrate metabolism of fetus and newborn,ความผิดปกติชั่วคราวของเมตะบอลิซึมของคาร์โบไฮเดรทแบบอื่นๆในทารกในครรภ์และแรกเกิด
P709,Transitory disorder of carbohydrate metabolism of fetus and newborn unspecified,ความผิดปกติชั่วคราวของเมตะบอลิซึมของคาร์โบไฮเดรตของทารกในครรภ์และแรกเกิด ที่มิได้ระบุรายละเอียด
P71,Transitory neonatal disorders of calcium and magnesium metabolism,ความผิดปกติชั่วคราวของเมตะบอลิซึมของแคลเซียมและแมกนีเซียมในทารกแรกเกิด
P710,Cow's milk hypocalcaemia in newborn,แคลเซียมในเลือดต่ำในทารกแรกเกิดที่ได้รับนมวัว
P711,Other neonatal hypocalcaemia,แคลเซียมในเลือดต่ำแบบอื่นๆในทารกแรกเกิด
P712,Neonatal hypomagnesaemia,แมกนีเซียมในเลือดน้อยกว่าปกติ ในทารกแรกเกิด
P713,Neonatal tetany without calcium or magnesium deficiency,ทารกแรกเกิดชักโดยไม่มีการขาดแคลเซียมหรือแมกนีเซียม
P714,Transitory neonatal hypoparathyroidism,ต่อมพาราธัยรอยด์ทำงานน้อยกว่าปกติชั่วคราวในทารกแรกเกิด
P718,Other transitory neonatal disorders of calcium and magnesium metabolism,ความผิดปกติชั่วคราวแบบอื่นๆของเมตะบอลิซึมของแคลเซียมและแมกนีเซียมในทารกแรกเกิด
P719,Transitory neonatal disorder of calcium and magnesium metabolism unspecified,ความผิดปกติชั่วคราวของเมตะบอลิซึมของแคลเซียมและแมกนีเซียมในทารกแรกเกิดที่มิได้ระบุรายละเอียด
